"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","0","30","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","24","0","51","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","0","77","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","0","635","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","0","22","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","0","4","1","0.000000","0","0"
"/Game/FirstPerson/Meshes/BaseMaterial.BaseMaterial","24","0","60","1","0.000000","0","0"
"/Game/FPWeapon/Materials/M_FPGun.M_FPGun","24","0","44","1","0.000000","0","0"
"/Game/FirstPerson/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","24","0","44","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","0","2","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/AntiAliasedTextMaterialTranslucent.AntiAliasedTextMaterialTranslucent","24","0","10","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","24","0","45","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/Car.Car","24","0","15","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/Neon_Green.Neon_Green","24","0","15","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/mat3.mat3","24","0","15","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/mat1.mat1","24","0","15","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/mat0.mat0","24","0","15","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/mat2.mat2","24","0","15","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/MySelf_Mat.MySelf_Mat","24","0","13","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/tines.tines","24","0","30","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/throatandtongue.throatandtongue","24","0","30","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/body.body","24","0","30","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/helmet.helmet","24","0","30","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/sword.sword","24","0","30","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","24","0","45","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Metal_Gold.M_Metal_Gold","24","0","45","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/Body_MAT.Body_MAT","24","0","60","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/eyelash_MAT.eyelash_MAT","24","0","20","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/EyeSpec_MAT.EyeSpec_MAT","24","0","30","1","0.000000","0","0"
"/Game/FirstPersonBP/Assets/NeonSign.NeonSign","24","0","15","1","0.000000","0","0"
"/Engine/EngineSky/M_SkyTimeOfDay.M_SkyTimeOfDay","24","0","2","1","0.000000","0","0"
